Node,Value,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0
13,1.7842,1.99644,2.123624,2.1999024,2.24566304,2.2731181439999997,2.2895909504,2.2994745830400003,2.3054047523840002,2.3089628519424004,2.3110977112678404,2.312378626781184,2.3131471760728064,2.313608305644503,2.313884983386866,2.314050990032152,2.3141505940192983,2.3142103564115803,2.3142462138469484,2.3142677283081694,2.3142806369849014,2.3142883821909406
14,2.9891,2.71898,2.557068,2.4599528,2.40169008,2.366733728,2.3457601728,2.3331760908800003,2.325625651968,2.3210953906688,2.31837723429888,2.3167463405588484,2.3157678043312133,2.3151806825979087,2.3148284095585816,2.3146170457351163,2.3144902274410635,2.314414136464637,2.314368481878782,2.3143410891272693,2.314324653476362,2.314314792085817
15,2.3148,2.3144,2.31432,2.314304,2.3143008,2.31430016,2.3143000320000002,2.3143000064000003,2.3143000012800004,2.3143000002560004,2.3143000000512,2.31430000001024,2.3143000000020484,2.3143000000004097,2.314300000000082,2.3143000000000167,2.3143000000000034,2.3143000000000007,2.3143000000000002,2.3143000000000002,2.3143000000000002,2.3143000000000002
16,4.4677,3.60614,3.0893639999999998,2.7793304,2.5933166400000003,2.4817096640000003,2.4147457344000003,2.37456742784,2.350460454144,2.3359962719744,2.32731776308224,2.322110657828864,2.3189863946932228,2.3171118368151147,2.315987102088905,2.3153122612533106,2.31490735675198,2.3146644140511867,2.314518648430712,2.314431189058427,2.3143787134350564,2.3143472280610338
17,0.4917,1.2209400000000001,1.6583240000000001,1.9207224,2.07815504,2.172613344,2.2292880704,2.26329285504,2.2836957155840003,2.2959374298624002,2.30328245801984,2.307689474832384,2.3103336849035263,2.311920210942935,2.312872126565925,2.3134432759395875,2.313785965563759,2.313991579338257,2.3141149476029543,2.3141889685617727,2.314233381137064,2.3142600286822383
18,2.6206,2.4978800000000003,2.424408,2.3803568000000004,2.35393248,2.338079168,2.3285674368000002,2.3228604492800002,2.319436267008,2.3173817596928004,2.3161490557132804,2.3154094334074884,2.3149656600403974,2.3146993960234195,2.314539637613888,2.3144437825683,2.314386269540974,2.3143517617245832,2.3143310570347495,2.3143186342208497,2.31431118053251,2.314306708319506
19,0.9549,1.49886,1.8250760000000001,2.0207736,2.13818576,2.208631776,2.2508991295999996,2.2762594905599998,2.291475696896,2.3006054186496003,2.3060832512921605,2.3093699507957766,2.311341970481562,2.3125251822897566,2.313235109374018,2.3136610656244434,2.313916639374673,2.3140699836248055,2.3141619901748838,2.3142171941049305,2.3142503164629584,2.3142701898777753
21,1.202,1.6471200000000001,1.9140320000000002,2.0741472,2.17020992,2.227846272,2.2624278272,2.28317670912,2.295626028032,2.3030956173312003,2.30757737050112,2.310266422321152,2.3118798533967873,2.312847912038892,2.313428747223499,2.3137772483341323,2.313986349000486,2.314111809400293,2.3141870856401763,2.314232251384106,2.3142593508304636,2.314275610498278
22,3.9851,3.31658,2.915628,2.6750888,2.53077168,2.444182688,2.3922295488000005,2.3610577164800004,2.3423546273280005,2.3311327758848,2.32439966542848,2.3203597992366083,2.3179358795378695,2.3164815277219026,2.315608916632978,2.3150853499797543,2.314771209987846,2.3145827259927065,2.3144696355956236,2.314401781357374,2.3143610688144243,2.3143366412886546
23,3.7448,3.1724,2.82912,2.623184,2.4996288,2.4254969600000003,2.3810181120000005,2.3543308544000006,2.3383185100800006,2.3287111055360006,2.3229466632192004,2.3194879979110405,2.3174127987425286,2.316167679244698,2.3154206075466552,2.3149723645279607,2.31470341871677,2.3145420512300605,2.314445230738036,2.3143871384428216,2.314352283065693,2.314331369839416
24,0.1438,1.0122,1.53308,1.8455759999999999,2.0330672,2.1455606400000002,2.213056448,2.2535538816000003,2.27785233152,2.292431399424,2.3011788397568003,2.3064273038745604,2.3095763823288324,2.311465829398119,2.3125994976390354,2.313279698583454,2.313687819150079,2.3139326914900487,2.3140796148940295,2.314167768936418,2.314220661361851,2.3142523968171105
25,1.7772,1.99224,2.121104,2.1983904,2.24475584,2.2725738239999997,2.2892643583999996,2.2992786278399997,2.305287179264,2.3088923080704,2.3110553849446402,2.3123532309872643,2.3131319385964546,2.313599163158692,2.313879497895379,2.3140476987372605,2.314148619242363,2.314209171545419,2.3142455029272515,2.3142673017563506,2.3142803810538104,2.3142882286322863
27,1.9342,2.08644,2.1776240000000002,2.2323024,2.26510304,2.2847821440000002,2.2965893504,2.3036736230400003,2.307924176384,2.3104745063424,2.3120047039078404,2.3129228223651843,2.3134736934232065,2.313804216054743,2.31400252963301,2.3141215177798387,2.31419291066791,2.3142357464007475,2.314261447840449,2.3142768687042694,2.314286121222562,2.314291672733537
28,-0.1317,0.8469000000000001,1.4339,1.786068,1.9973624,2.12413776,2.20020272,2.2458416448,2.27322498944,2.2896549941760003,2.2995129966080006,2.3054277979852804,2.3089766787952644,2.311106007277978,2.312383604366951,2.3131501626202033,2.3136100975721288,2.313886058543279,2.3140516351259675,2.3141509810755805,2.3142105886453486,2.314246353187209
29,1.9512,2.09664,2.183744,2.2359744,2.26730624,2.286104064,2.2973825023999996,2.3041495142399997,2.308209711104,2.3106458271744,2.31210749640704,2.3129844978647043,2.3135106987229186,2.3138264192345703,2.314015851540906,2.3141295109245763,2.3141977065547525,2.314238623932853,2.314263174359712,2.3142779046158273,2.3142867427694966,2.314292045661698
30,2.3933,2.3615000000000004,2.3425800000000003,2.3312600000000003,2.3244744,2.32040432,2.3179625280000002,2.316497504,2.3156184998400002,2.315091099392,2.3147746595328003,2.3145847956992003,2.3144708774154243,2.3144025264484354,2.3143615158688977,2.314336909521306,2.314322145712777,2.314313287427665,2.3143079724565987,2.314304783473959,2.3143028700843757,2.3143017220506255
32,2.2173,2.2563,2.27954,2.293452,2.3017928,2.306796,2.309797664,2.3115986112,2.31267916928,2.31332750208,2.3137165013504,2.3139499008307203,2.3140899405025284,2.3141739643023365,2.3142243785815655,2.314254627148972,2.31427277628939,2.3142836657736354,2.314290199464182,2.314294119678509,2.3142964718071055,2.3142978830842633
33,0.0056,0.9292800000000001,1.4833280000000002,1.8157248000000001,2.01515648,2.134814208,2.2066085888,2.24968516608,2.2755311022080003,2.2910386618368004,2.30034319720448,2.305925918343168,2.3092755510099967,2.3112853306068173,2.3124911983642544,2.3132147190185854,2.3136488314111583,2.3139092988466965,2.3140655793080183,2.314159347584811,2.3142156085508865,2.3142493651305323
34,3.1077,2.79014,2.599764,2.4855704000000003,2.41706064,2.375956064,2.3512935744,2.33649613184,2.3276176765440004,2.3222906054144,2.31909436314624,2.317176617867264,2.3160259707162627,2.3153355824289386,2.3149213494571996,2.3146728096742875,2.314523685804566,2.3144342114827383,2.314380526889643,2.3143483161337857,2.3143289896802717,2.314317393808163
36,2.2445,2.27262,2.289332,2.2993272,2.30531792,2.308911072,2.3110667072,2.3123600371200004,2.3131360248320005,2.3136016154112005,2.3138809693491202,2.3140485816299523,2.3141491489820676,2.31420948939006,2.3142456936342,2.3142674161805528,2.3142804497083382,2.3142882698250045,2.3142929618950028,2.3142957771370014,2.314297466282201,2.3142984797693207
37,1.9381,2.08878,2.1790279999999997,2.2331448,2.26560848,2.2850854079999996,2.2967713087999995,2.30378279808,2.307989681408,2.3105138093568,2.3120282857164804,2.3129369714503687,2.313482182874317,2.3138093097254098,2.31400558583541,2.3141233515012787,2.314194010900774,2.314236406540466,2.31426184392428,2.314277106354568,2.3142862638127406,2.314291758287644
38,1.2461,1.67358,1.9299080000000002,2.0836728,2.17592528,2.2312754879999996,2.2644853568,2.28441122688,2.296366738688,2.3035400437248,2.30784402633728,2.3104264158228482,2.311975849497805,2.3129055096995024,2.313463305819865,2.313797983491952,2.313998790095178,2.3141192740571084,2.314191564434265,2.314234938660559,2.314260963196335,2.314276577917801
39,2.712,2.55272,2.457312,2.4000992,2.36577792,2.345186432,2.3328317952,2.32541906432,2.320971436032,2.3183028611072,2.31670171656192,2.3157410299166723,2.3151646179459076,2.3148187707667254,2.3146112624598714,2.3144867574758905,2.314412054485528,2.314367232691316,2.3143403396147892,2.3143242037688734,2.3143145222613244,2.3143087133567946
40,2.9183,2.6765,2.53158,2.44466,2.3925143999999996,2.36122832,2.342456928,2.331194144,2.32443648384,2.3203818897920003,2.3179491337728004,2.3164894802432006,2.3156136881418243,2.3150882128842754,2.3147729277304014,2.3145837566382084,2.3144702539829187,2.31440215238975,2.31436129143385,2.3143367748603096,2.314322064916186,2.314313238949712
42,1.5179,1.8366600000000002,2.027756,2.1423816,2.21115056,2.252410656,2.2771664576,2.29201988736,2.300931934976,2.3062791614976,2.3094874970009602,2.311412498221056,2.3125674989367297,2.3132604993628574,2.313676299617878,2.3139257797707597,2.3140754678624624,2.3141652807174786,2.3142191684304874,2.3142515010582922,2.314270900634975,2.314282540380985
43,2.0896,2.1796800000000003,2.233568,2.2658688,2.2852428799999998,2.296866048,2.3038396928,2.30802382848,2.3105342996480003,2.3120405803008004,2.3129443482828806,2.3134866089902086,2.313811965398221,2.314007179239752,2.314124307544015,2.314194584526442,2.314236750715872,2.314262050429525,2.3142772302577153,2.3142863381546293,2.314291802892778,2.3142950817356667
44,2.827,2.62172,2.498712,2.4249392,2.38068192,2.354128832,2.3381972352,2.3286383283200003,2.3229029944320003,2.3194617961472,2.31739707758592,2.316158246531072,2.3154149479145474,2.3149689687479094,2.314701381248582,2.3145408287491165,2.3144444972494633,2.3143866983496766,2.3143520190098057,2.314331211405883,2.31431872684353,2.3143112361061178
45,0.0455,0.9532200000000001,1.497692,1.8243432,2.02032752,2.137916832,2.2084701632000003,2.2508021107200005,2.2762012689920006,2.2914407619072006,2.3005844572467202,2.306070674368512,2.3093624046252033,2.311337442775941,2.3125224656657286,2.3132334793994698,2.313660087639689,2.3139160525838145,2.314069631550289,2.314161778930173,2.314217067358104,2.3142502404148626
46,2.1175,2.19642,2.2436119999999997,2.2718952,2.28885872,2.299035552,2.3051413951999997,2.30880484992,2.311002912512,2.3123217480192,2.3131130489139204,2.3135878293688323,2.3138726976253956,2.314043618576057,2.314146171145798,2.3142077026875114,2.314244621612514,2.3142667729675095,2.314280063780506,2.3142880382683035,2.314292822960982,2.3142956937765895
47,0.0925,0.9814200000000001,1.514612,1.8344952,2.02641872,2.1415715520000003,2.2106629952,2.25211780992,2.2769906885120004,2.2919144136192005,2.3008686482739202,2.306241188984832,2.3094647133949953,2.3113988280378166,2.3125592968228537,2.313255578093745,2.3136733468562536,2.3139240081137533,2.3140744048682524,2.3141646429209515,2.314218785752571,2.3142512714515426
48,1.0771,1.57218,1.869068,2.0471688,2.15402288,2.2181340479999996,2.2566004927999996,2.2796803084799997,2.293528187648,2.3018369131008,2.30682214796288,2.309813288798208,2.311607973283021,2.312684783970632,2.313330870382543,2.3137185222295584,2.3139511133377417,2.3140906680026463,2.314174400801588,2.314224640480953,2.314254784288572,2.3142728705731432
49,2.4698,2.4074,2.37012,2.347784,2.3343888,2.3263529600000004,2.3215317120000005,2.3186390144000004,2.3169034060800002,2.315862043136,2.3152372257792,2.31486233544704,2.314637401264128,2.3145024407576575,2.3144214644544308,2.314372878672626,2.314343727203569,2.31432623632214,2.314315741793284,2.31430944507597,2.3143056670455824,2.3143034002273497
